,headline,sentence_text
8,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"In an interview on Saturday, the leader and richest man in German auto manufacturing unveiled two concepts that have raised the eyebrows and the fears and doubts which are critical to the future of Autoduck.“Obviously, there is a strategic connection with the next generation of vehicles,’” said Thomas Stagg, CEO for bes and chairman of SSG, in a press conference in Munich here today (2100 forthcoming).” ”But I would say for auto companies, it is"
7,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,more a question for us.<|endoftext|>
5,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,What are the challenges of using a completely different model approach for the future?” he continued.”Why not to switch towards high volume production to the next model architecture?<|endoftext|>
8,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,How many German car companies have tried this before [?]<|endoftext|>
6,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,.. the question is would it work?<|endoftext|>
0,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,The answer is it is very complicated.�<|endoftext|>
5,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"Last week, the CEO of BMW ( ) said he wishes there to be a version of the 3 Series available for the market.�<|endoftext|>"
2,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"A major shift, and now a time bomb. “We will have a BMW 3, or, rather: two BMW 3 and an version of the 3 Series.’<|endoftext|>"
8,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,””<|endoftext|>
4,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"’’ ‘In this regard, we now are in a situation of a strategic convergence with the model architecture we have in our portfolio,’” he said.<|endoftext|>"
2,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,”That is what is critical.<|endoftext|>
2,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,Otherwise it will look like a huge new version of the existing product architecture.” The CEO also answered questions on the future for the US auto market as the financial situation worsened. ”We have to do something and in a hurry.�<|endoftext|>
5,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"The US market, and particularly for the luxury market, has become a very competitive category and particularly so in the US.�<|endoftext|>"
7,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"The economics of cars and manufacturers in II found that their business was effectively being surpassed by what was being made by car makers in Europe, the UK as a consequence of China, and the rest. Some analysts now say the auto companies in Europe, the Netherlands and the UK have achieved an ”unborn advantage � over two dominant players.�<|endoftext|>"
7,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"“The results showed that the carmakers in Europe and often the US have lost a bit, while on costs and margins, they are now challenging themselves with the cost of selling the car at competitive prices, which are very difficult for carmakers in the market today.’’ ”It was also revealed in the interview on Saturday.� Greens CEO who is leading the charge against the merger of the Japanese and Renault groups, called the German industry�<|endoftext|>"
7,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,He pointed to weak German carmakers as pointing the way to a future.<|endoftext|>
0,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"Some German car companies are already questioning how the industry can survive if wages are not raised for new employees, or if they start changing models for various reasons.’�<|endoftext|>"
5,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,"“We will see more activity in the markets of traditional industries as well as traditional cars.’ he said.“We will have to see how more profitable the products that we produce in the future will become to the traditional sector and the traditional sector in large numbers, which are the key drivers to the European and global auto markets�<|endoftext|>"
8,Thyssenkrupp defends landmark split as scepticism mounts.<|endoftext|>,’ ’’<|endoftext|>
